X	Y
9.330000e-03	3.047960e+00
1.007700e-02	2.590443e+00
1.082300e-02	2.156446e+00
1.157000e-02	1.800035e+00
1.231600e-02	1.508750e+00
1.306200e-02	1.223110e+00
1.380900e-02	1.019424e+00
1.455500e-02	8.329345e-01
1.530200e-02	6.803473e-01
1.604800e-02	5.543964e-01
1.679500e-02	4.461936e-01
1.754100e-02	3.516133e-01
1.828800e-02	2.758758e-01
1.903400e-02	2.168053e-01
1.978000e-02	1.765848e-01
2.052700e-02	1.252438e-01
2.127300e-02	9.949789e-02
2.202000e-02	7.094868e-02
2.276600e-02	5.409732e-02
2.351300e-02	4.011939e-02
2.425900e-02	3.472110e-02
2.500500e-02	2.970942e-02
2.575200e-02	2.408591e-02
2.649800e-02	2.306340e-02
2.724500e-02	2.524731e-02
2.799100e-02	2.273889e-02
2.873800e-02	2.095619e-02
2.948400e-02	2.247685e-02
3.023100e-02	1.947839e-02
3.097700e-02	2.120583e-02
3.172300e-02	2.355758e-02
3.247000e-02	2.127809e-02
3.321600e-02	2.247181e-02
3.396300e-02	1.868704e-02
3.470900e-02	1.997072e-02
3.545600e-02	1.744460e-02
3.620200e-02	1.613192e-02
3.694800e-02	1.418216e-02
3.769500e-02	1.463492e-02
3.844100e-02	1.227574e-02
3.918800e-02	9.739679e-03
3.993400e-02	8.850512e-03
4.068100e-02	6.739597e-03
4.142700e-02	7.189505e-03
4.217300e-02	5.827557e-03
4.292000e-02	4.279346e-03
4.366600e-02	5.100257e-03
4.441300e-02	3.651230e-03
4.515900e-02	3.931860e-03
4.590600e-02	3.861700e-03
4.665200e-02	2.696017e-03
4.739800e-02	2.513575e-03
4.814500e-02	2.870769e-03
4.889100e-02	3.709163e-03
4.963800e-02	2.891028e-03
5.038400e-02	2.452192e-03
5.113100e-02	3.803498e-03
5.187700e-02	2.835031e-03
5.262300e-02	2.054741e-03
5.337000e-02	2.437141e-03
5.411600e-02	2.487069e-03
5.486300e-02	2.049779e-03
5.560900e-02	2.923531e-03
5.635600e-02	3.055453e-03
5.710200e-02	2.324174e-03
5.784800e-02	1.616741e-03
5.859500e-02	1.945261e-03
5.934100e-02	8.152744e-04
6.008800e-02	1.828484e-03
6.083400e-02	6.220132e-04
6.158100e-02	2.702706e-04
6.232700e-02	1.071104e-03
6.307300e-02	9.363503e-04
6.382000e-02	1.792082e-03
6.456600e-02	1.242707e-03
6.531300e-02	8.216925e-04
6.605900e-02	1.887820e-03
6.680600e-02	6.897305e-04
6.755200e-02	7.198805e-04
6.829800e-02	2.956858e-04
6.904500e-02	8.492014e-04
6.979100e-02	1.437528e-03
7.053800e-02	1.900566e-03
7.128400e-02	9.207605e-04
7.203100e-02	1.907332e-03
7.277700e-02	1.405909e-03
7.352300e-02	1.233671e-03
7.427000e-02	1.145587e-03
7.501600e-02	-7.667595e-05
7.576300e-02	1.686959e-04
7.650900e-02	1.059352e-04
7.725600e-02	3.008427e-05
7.800200e-02	7.517938e-04
7.874800e-02	4.108358e-04
7.949500e-02	1.856107e-03
8.024100e-02	6.562945e-04
8.098800e-02	6.597859e-04
8.173400e-02	5.877854e-04
8.248100e-02	1.046519e-03
8.322700e-02	3.667206e-04
8.397400e-02	-3.390033e-06
8.472000e-02	1.308404e-04
8.546600e-02	9.070834e-04
8.621300e-02	1.464753e-03
8.695900e-02	3.806265e-04
8.770600e-02	-4.679404e-04
8.845200e-02	6.214330e-04
8.919900e-02	3.348476e-04
8.994500e-02	9.503687e-04
9.069100e-02	7.303040e-04
9.143800e-02	6.959747e-04
9.218400e-02	7.917513e-04
9.293100e-02	4.421419e-05
9.367700e-02	3.266320e-04
9.442300e-02	4.603439e-04
9.517000e-02	2.607607e-04
9.591600e-02	4.306010e-04
9.666300e-02	2.640257e-04
9.740900e-02	9.223346e-04
9.815600e-02	3.831911e-04
9.890200e-02	-4.886244e-04
9.964900e-02	7.902425e-04
1.003950e-01	4.226462e-04
1.011410e-01	1.858078e-04
1.018880e-01	9.312008e-04
1.026340e-01	-2.779682e-05
1.033810e-01	1.690826e-04
1.041270e-01	1.796076e-04
1.048740e-01	-3.328703e-04
1.056200e-01	8.246348e-04
1.063660e-01	9.269887e-04
1.071130e-01	6.602602e-04
1.078590e-01	6.643265e-04
1.086060e-01	1.375245e-04
1.093520e-01	-3.432783e-04
1.100990e-01	6.975854e-04
1.108450e-01	5.603385e-04
1.115910e-01	7.763468e-04
1.123380e-01	5.323425e-05
1.130840e-01	9.975691e-04
1.138310e-01	1.968804e-04
1.145770e-01	1.540529e-04
1.153240e-01	4.892461e-04
1.160700e-01	3.495243e-04
1.168160e-01	3.391290e-04
1.175630e-01	2.336936e-04
1.183090e-01	6.829069e-05
1.190560e-01	4.083144e-04
1.198020e-01	1.998177e-04
1.205490e-01	4.968045e-04
1.212950e-01	3.126944e-05
1.220410e-01	1.355827e-03
1.227880e-01	6.574598e-04
1.235340e-01	1.534246e-04
1.242810e-01	-4.548029e-05
1.250270e-01	6.084245e-04
1.257740e-01	-7.843994e-05
1.265200e-01	3.965415e-05
1.272660e-01	2.374404e-04
1.280130e-01	2.593232e-04
1.287590e-01	7.666885e-04
1.295060e-01	1.383798e-04
1.302520e-01	1.657027e-04
1.309990e-01	3.820675e-04
1.317450e-01	7.355760e-04
1.324910e-01	5.880115e-04
1.332380e-01	8.814370e-04
1.339840e-01	8.501064e-04
1.347310e-01	2.599993e-04
1.354770e-01	-8.236877e-05
1.362240e-01	1.099593e-03
1.369700e-01	1.943043e-04
1.377170e-01	-3.579100e-04
1.384630e-01	1.707437e-04
1.392090e-01	2.832525e-04
1.399560e-01	1.705465e-04
1.407020e-01	2.501001e-04
1.414490e-01	3.769145e-04
1.421950e-01	-2.689124e-04
1.429420e-01	-7.533906e-04
1.436880e-01	8.669773e-05
1.444340e-01	6.769504e-04
1.451810e-01	1.166283e-04
1.459270e-01	-6.746773e-06
1.466740e-01	1.256178e-04
1.474200e-01	-1.468151e-04
1.481670e-01	3.865233e-04
1.489130e-01	3.299155e-04
1.496590e-01	-1.615816e-04
1.504060e-01	5.827726e-04
1.511520e-01	3.567373e-04
1.518990e-01	2.521099e-04
1.526450e-01	1.369046e-04
1.533920e-01	1.704393e-04
1.541380e-01	-8.496510e-05
1.548840e-01	4.760876e-04
1.556310e-01	1.968660e-04
1.563770e-01	1.828809e-04
1.571240e-01	3.366057e-04
1.578700e-01	2.414451e-04
1.586170e-01	5.460332e-04
1.593630e-01	2.758598e-04
1.601090e-01	3.561768e-04
1.608560e-01	8.343604e-04
1.616020e-01	4.089932e-04
1.623490e-01	-2.412851e-05
1.630950e-01	1.913210e-04
1.638420e-01	6.558868e-04
1.645880e-01	2.243672e-04
1.653340e-01	5.827863e-04
1.660810e-01	4.897309e-04
1.668270e-01	-4.267313e-05
1.675740e-01	3.966060e-04
1.683200e-01	7.291776e-04
1.690670e-01	4.435913e-04
1.698130e-01	2.234851e-04
1.705590e-01	1.320511e-04
1.713060e-01	4.370419e-04
1.720520e-01	1.443312e-04
1.727990e-01	4.267355e-05
1.735450e-01	1.263962e-04
1.742920e-01	7.945511e-04
1.750380e-01	6.311515e-04
1.757840e-01	4.139827e-04
1.765310e-01	-4.072251e-04
