X	Y
-2.315515e+00	5.900000e+01
-2.224766e+00	5.875510e+01
-2.134000e+00	5.969388e+01
-2.043217e+00	5.304082e+01
-1.952418e+00	7.236735e+01
-1.861604e+00	7.418367e+01
-1.770776e+00	6.944898e+01
-1.679933e+00	9.385714e+01
-1.589078e+00	1.001837e+02
-1.498210e+00	1.145918e+02
-1.407330e+00	1.498163e+02
-1.316439e+00	2.066939e+02
-1.225538e+00	2.549388e+02
-1.134628e+00	-2.100000e+01
-1.043708e+00	5.747143e+02
-9.527807e-01	1.107531e+03
-8.618457e-01	1.940694e+03
-7.709039e-01	2.406796e+03
-6.799561e-01	1.967041e+03
-5.890030e-01	1.515653e+03
-4.980453e-01	1.313082e+03
-4.070837e-01	1.277286e+03
-3.161189e-01	1.526653e+03
-2.251516e-01	2.095061e+03
-1.341826e-01	4.250143e+03
-4.321249e-02	4.957696e+04
4.775793e-02	3.922378e+04
1.387280e-01	4.084612e+03
2.296969e-01	2.111571e+03
3.206641e-01	1.563061e+03
4.116288e-01	1.346755e+03
5.025902e-01	1.375163e+03
5.935477e-01	1.563429e+03
6.845006e-01	2.095367e+03
7.754481e-01	2.417694e+03
8.663895e-01	1.991857e+03
9.573242e-01	1.204796e+03
1.048251e+00	6.855510e+02
1.139170e+00	3.734490e+02
1.230080e+00	2.374286e+02
1.320981e+00	1.861837e+02
1.411871e+00	1.527959e+02
1.502750e+00	1.160000e+02
1.593618e+00	1.054490e+02
1.684472e+00	9.104082e+01
1.775314e+00	7.175510e+01
1.866142e+00	5.620408e+01
1.956956e+00	6.453061e+01
2.047754e+00	3.840816e+01
2.138536e+00	4.400000e+01
