# q	I	sigma_I
9.329999999999999752e-03 3.047959640000000192e+00 7.344316388102276050e-03
1.007699999999999915e-02 2.590442669999999836e+00 7.064557616509262866e-03
1.082300000000000102e-02 2.156445559999999873e+00 6.788533715877972594e-03
1.157000000000000042e-02 1.800035159999999967e+00 6.553166627525283498e-03
1.231599999999999882e-02 1.508750320000000089e+00 6.354336499533797498e-03
1.306200000000000069e-02 1.223109650000000048e+00 6.153122824756339197e-03
1.380900000000000009e-02 1.019423800000000213e+00 6.005524252709913691e-03
1.455500000000000196e-02 8.329345340000000597e-01 5.867131769222678865e-03
1.530200000000000136e-02 6.803473409999999388e-01 5.751421318345640264e-03
1.604799999999999977e-02 5.543963990000000397e-01 5.654126023784233034e-03
1.679499999999999743e-02 4.461936420000000569e-01 5.569183741484038351e-03
1.754100000000000104e-02 3.516133350000000268e-01 5.493859868253123287e-03
1.828799999999999870e-02 2.758758139999999970e-01 5.432789487423102248e-03
1.903399999999999884e-02 2.168053070000000027e-01 5.384677681219208686e-03
1.978000000000000244e-02 1.765847550000000099e-01 5.351671296613086208e-03
2.052700000000000011e-02 1.252438250000000031e-01 5.309241015523772506e-03
2.127300000000000024e-02 9.949789140000001031e-02 5.287835330511671261e-03
2.201999999999999791e-02 7.094867839999999259e-02 5.263997166631409486e-03
2.276599999999999804e-02 5.409732110000000510e-02 5.249875735475350094e-03
2.351299999999999918e-02 4.011939109999999864e-02 5.238133349405649231e-03
2.425899999999999931e-02 3.472110119999999994e-02 5.233591376544261160e-03
2.500499999999999945e-02 2.970941809999999919e-02 5.229371152761908177e-03
2.575199999999999712e-02 2.408590930000000310e-02 5.224631665995168282e-03
2.649800000000000072e-02 2.306339609999999776e-02 5.223769431018962343e-03
2.724499999999999839e-02 2.524731059999999958e-02 5.225610845889936545e-03
2.799100000000000199e-02 2.273888580000000062e-02 5.223495757727224589e-03
2.873799999999999966e-02 2.095619110000000035e-02 5.221992079904977553e-03
2.948399999999999632e-02 2.247685120000000175e-02 5.223274762377662708e-03
3.023100000000000093e-02 1.947839250000000036e-02 5.220745249324685623e-03
3.097699999999999759e-02 2.120582539999999946e-02 5.222202668983879151e-03
3.172300000000000120e-02 2.355757500000000074e-02 5.224186165493297472e-03
3.246999999999999886e-02 2.127808700000000108e-02 5.222263626585228573e-03
3.321600000000000247e-02 2.247181419999999888e-02 5.223270514169307301e-03
3.396300000000000013e-02 1.868704239999999933e-02 5.220077458436188367e-03
3.470899999999999680e-02 1.997071800000000188e-02 5.221160661387812436e-03
3.545600000000000140e-02 1.744460180000000082e-02 5.219028836680697503e-03
