x y
0.0001707992 50786440
0.002489723 46095410
0.004808646 34760930
0.007127569 23884320
0.009446493 16994540
0.01176542 12599910
0.01408434 9531140
0.01640326 7255990
0.01872219 5434402
0.02104111 3892166
0.02336003 2833640
0.02567895 2390229
0.02799788 2124229
0.0303168 1732658
0.03263572 1332971
0.03495464 1019224
0.03727357 809975.3
0.03959249 678266.4
0.04191141 574839.7
0.04423033 487878.9
0.04654925 419212.8
0.04886818 364293.7
0.0511871 318533.1
0.05350602 280594.3
0.05582494 249618.7
0.05814386 224770.7
0.06046278 204648
0.0627817 187428.1
0.06510062 171735.7
0.06741954 156772.5
0.06973846 143388.7
0.07205738 132484
0.07437629 123712.4
0.07669521 116387
0.07901413 109636.7
0.08133305 103202.6
0.08365197 97421.84
0.08597088 92047.72
0.0882898 86593.18
0.09060872 81488.33
0.09292763 77353.82
0.09524655 74234.08
0.09756546 71783.32
0.09988438 69125.13
0.1022033 65985.16
0.1045222 62925.4
0.1068411 60274.57
0.10916 58108.09
0.1114789 56289
0.1137979 54607.98
0.1161168 52976.64
0.1184357 51342.98
0.1207546 49661.7
0.1230735 47993.7
0.1253924 46553.23
0.1277113 45272.3
0.1300302 43845.29
0.1323491 42509.75
0.134668 41688.4
0.136987 40942.75
0.1393059 39762.57
0.1416248 38439.75
0.1439437 37303.73
0.1462626 36422.5
0.1485815 35698.22
0.1509004 34888.67
0.1532193 34023.78
0.1555382 33306.45
0.1578571 32658.91
0.160176 31932.91
0.1624949 31233.68
0.1648138 30644.37
0.1671327 30026.72
0.1694516 29327.93
0.1717705 28670.45
0.1740894 28105.83
0.1764083 27608.31
0.1787272 27169.9
0.1810461 26768.72
0.183365 26242.39
0.1856839 25521.57
0.1880027 24978.45
0.1903216 24814.07
0.1926405 24748.58
0.1949594 24526.29
0.1972783 24003.1
0.1995972 23346.67
0.2019161 22899.81
0.204235 22710.16
0.2065539 22654.75
0.2088727 22443.6
0.2111916 21955.52
0.2135105 21557.7
0.2158294 21364.16
0.2181483 21048.4
0.2204672 20633.13
0.222786 20433.18
0.2251049 20349.96
0.2274238 20113.27
0.2297427 19748.15
0.2320616 19384.38
0.2343804 19177.4
0.2366993 19104.24
0.2390182 18830.93
0.241337 18373.85
0.2436559 18130.78
0.2459748 18071.91
0.2482937 17917.44
0.2506125 17725.33
0.2529314 17625.91
0.2552503 17495.6
0.2575691 17232.24
0.259888 16916.33
0.2622069 16715.03
0.2645257 16849.55
0.2668446 17040.01
0.2691634 16695.68
0.2714823 16183.26
0.2738012 16153.94
0.27612 16239.07
0.2784389 16018.75
0.2807577 15794.38
0.2830766 15764.62
0.2853954 15749.03
0.2877143 15646.14
0.2900331 15477.4
0.292352 15307.52
0.2946708 15201.65
0.2969897 15078.32
0.2993085 14868.17
0.3016274 14745.47
0.3039462 14794.29
0.306265 14798.98
0.3085839 14658.92
0.3109027 14468.43
0.3132216 14311.29
0.3155404 14238.99
0.3178592 14191.29
0.3201781 14087.07
0.3224969 13994.91
0.3248157 13977
0.3271346 13965.78
0.3294534 13887.15
0.3317722 13695.06
0.334091 13448.5
0.3364099 13296.8
0.3387287 13279.21
0.3410475 13352.91
0.3433663 13398.26
0.3456851 13319.26
0.348004 13191.39
0.3503228 13082.85
0.3526416 12976.48
0.3549604 12864.69
0.3572792 12765.57
0.359598 12722.36
0.3619168 12780.32
0.3642356 12865.7
0.3665544 12862.54
0.3688733 12708.37
0.3711921 12441.15
0.3735109 12309.69
0.3758297 12364.74
0.3781485 12324.83
0.3804673 12211.77
0.382786 12313.51
0.3851048 12501.41
0.3874236 12471.29
0.3897424 12300.37
0.3920612 12160.51
0.39438 12106.72
0.3966988 12115.13
0.3990176 12060.11
0.4013363 11905.68
0.4036551 11736.52
0.4059739 11696.47
0.4082927 11907.7
0.4106115 12073.07
0.4129302 11889.31
0.415249 11761.5
0.4175678 11959.35
0.4198865 12017.87
0.4222053 11771.98
0.4245241 11619.54
0.4268428 11645.77
0.4291616 11642.94
0.4314804 11605.31
0.4337991 11612.04
0.4361179 11585.32
0.4384366 11461.99
0.4407554 11374.18
0.4430741 11419.78
0.4453929 11567.81
0.4477116 11693.03
0.4500304 11606.5
0.4523491 11428.41
0.4546679 11423.77
0.4569866 11413.87
0.4593053 11184.93
0.4616241 11084.4
0.4639428 11316.08
0.4662615 11471.33
0.4685803 11371.28
0.470899 11253.27
0.4732177 11230.57
0.4755365 11284.42
0.4778552 11370.56
0.4801739 11428.9
0.4824926 11376.09
0.4848113 11204.92
0.4871301 11140.34
0.4894488 11267.98
0.4917675 11374.85
0.4940862 11357.48
0.4964049 11260.44
0.4987236 11179.92
0.5010423 11214.72
0.503361 11300.56
0.5056797 11343.57
0.5079984 11369.94
0.5103171 11396.99
0.5126358 11368.95
0.5149545 11320.78
0.5172732 11400.09
0.5195919 11504.55
0.5219105 11377.97
0.5242292 11179.82
0.5265479 11184.14
0.5288666 11253.03
0.5311853 11232.98
0.5335039 11242.37
0.5358226 11336.79
0.5381413 11404.29
0.5404599 11424.88
0.5427786 11474.96
0.5450973 11533.22
0.5474159 11531.53
0.5497346 11490.56
0.5520532 11451.59
0.5543719 11415.14
0.5566905 11392.83
0.5590092 11434.17
0.5613278 11542.15
0.5636465 11658.1
0.5659651 11732.44
0.5682838 11734.62
0.5706024 11705.5
0.572921 11703.25
0.5752397 11719.84
0.5775583 11739.61
0.5798769 11772.21
0.5821956 11805.51
0.5845142 11792.76
0.5868328 11773.95
0.5891514 11855.42
0.59147 11968.19
0.5937886 11973.9
0.5961073 11918.02
0.5984259 11884.86
0.6007445 11880.02
0.6030631 11915.75
0.6053817 12042.25
0.6077003 12183.35
0.6100189 12133.11
0.6123375 11974.17
0.6146561 11965.69
0.6169746 12111.98
0.6192932 12299.86
0.6216118 12396.7
0.6239304 12356.53
0.626249 12347.9
0.6285676 12438.82
0.6308861 12512.24
0.6332047 12525.28
0.6355233 12513.52
0.6378418 12510.78
0.6401604 12534.4
0.642479 12529.08
0.6447975 12469.42
0.6471161 12489.36
0.6494346 12635.37
0.6517532 12749.24
0.6540717 12801.36
0.6563903 12917.03
0.6587088 13098.13
0.6610274 13253.46
0.6633459 13266.57
0.6656644 13092.79
0.667983 12998.27
0.6703015 13143.99
0.67262 13291.88
0.6749385 13328.54
0.6772571 13377.59
0.6795756 13446.71
0.6818941 13452.37
0.6842126 13493.19
0.6865311 13696.21
0.6888496 13859.27
0.6911681 13821.76
0.6934866 13824.03
0.6958051 13982.06
0.6981236 14087.71
0.7004421 14076.01
0.7027606 14059.41
0.7050791 14095.92
0.7073976 14194.14
0.709716 14306.35
0.7120345 14382.93
0.714353 14445.28
0.7166715 14530.06
0.7189899 14670.5
0.7213084 14830.82
0.7236269 14893.94
0.7259453 14858.92
0.7282638 14818.15
0.7305822 14832.24
0.7329007 14926
0.7352191 15036.97
0.7375376 15097.72
0.739856 15095.82
0.7421745 15087.69
0.7444929 15218.09
0.7468113 15459.81
0.7491298 15623.06
0.7514482 15686.62
0.7537666 15729.13
0.756085 15784.65
0.7584035 15876.13
0.7607219 16045.45
0.7630403 16251.48
0.7653587 16285.51
0.7676771 16167.65
0.7699955 16200.88
0.7723139 16363.52
0.7746323 16421.18
0.7769507 16499.77
0.8627289 18267.91
0.8650472 18279.74
0.8673654 18171.91
0.8696837 18003.82
0.8720019 17846.39
0.8743202 17735.08
0.8766384 17704.57
0.8789567 17804.14
0.8812749 17954.52
0.8835932 17915.43
0.8859114 17752.33
0.8882296 17753.33
0.8905479 17800.5
0.8928661 17643.83
0.8951843 17440.21
0.8975025 17375.08
0.8998207 17357.93
0.9021389 17292.64
