epoch,train_loss,val_loss,val_type_acc,val_nonempty_acc
1,1.93972,-2.22697,0.754,0.554
2,-2.28931,-2.78505,0.762,0.601
3,-2.69412,-2.9723,0.78,0.609
4,-2.88651,-3.06436,0.783,0.611
5,-3.03464,-3.14998,0.786,0.612
6,-3.11419,-3.27446,0.791,0.634
7,-3.18247,-3.30387,0.793,0.614
8,-3.26458,-3.34983,0.795,0.643
9,-3.33605,-3.38563,0.787,0.664
10,-3.37189,-3.4812,0.783,0.663
11,-3.43869,-3.59261,0.776,0.626
12,-3.49716,-3.63765,0.773,0.655
13,-3.56892,-3.67599,0.771,0.637
14,-3.60783,-3.69909,0.775,0.626
15,-3.65627,-3.75616,0.776,0.644
16,-3.68035,-3.77104,0.764,0.657
17,-3.71577,-3.79113,0.778,0.638
18,-3.7465,-3.71966,0.775,0.625
19,-3.77733,-3.81042,0.769,0.68
20,-3.80508,-3.85049,0.78,0.653
21,-3.83593,-3.82192,0.781,0.65
22,-3.85559,-3.8674,0.765,0.67
23,-3.8842,-3.84747,0.776,0.673
24,-3.9108,-3.92886,0.776,0.664
25,-3.92874,-3.89794,0.766,0.672
26,-3.94626,-3.94223,0.775,0.66
27,-3.98441,-3.91462,0.772,0.657
28,-4.00423,-3.95566,0.775,0.678
29,-4.02155,-4.00316,0.778,0.669
30,-4.03782,-3.95888,0.776,0.655
31,-4.05573,-3.9535,0.781,0.662
32,-4.06525,-3.98208,0.781,0.641
33,-4.08783,-4.02557,0.78,0.658
34,-4.11017,-4.00804,0.779,0.659
35,-4.12098,-4.0892,0.78,0.665
36,-4.13924,-4.03196,0.776,0.675
37,-4.15472,-4.08417,0.775,0.68
38,-4.16822,-4.01034,0.78,0.646
39,-4.18456,-4.033,0.78,0.668
40,-4.20019,-4.04612,0.775,0.679
41,-4.21285,-4.05531,0.78,0.652
42,-4.22562,-4.07709,0.778,0.67
43,-4.23844,-4.02189,0.781,0.657
44,-4.24248,-4.11566,0.779,0.67
45,-4.25859,-4.1343,0.779,0.676
46,-4.28429,-4.07216,0.782,0.671
47,-4.2888,-4.14847,0.778,0.666
48,-4.30425,-4.11365,0.782,0.648
49,-4.31185,-4.12731,0.772,0.67
50,-4.32636,-4.10679,0.778,0.677
